KODE PROVINSI,KODE KAB_KOTA,PROVINSI,KAB_KOTA,SD,SMP,SMA,SMK,PAGU
1,01 00 ,DKI JAKARTA,DKI JAKARTA,815,272,337,192,543468015514000
1,01 51 ,DKI JAKARTA,KOTA JAKARTA PUSAT,57,25,17,42,329474392308000
1,01 52 ,DKI JAKARTA,KOTA JAKARTA UTARA,162,57,23,42,4415607228000
1,01 53 ,DKI JAKARTA,KOTA JAKARTA BARAT,235,46,44,19,4997506878000
1,01 54 ,DKI JAKARTA,KOTA JAKARTA SELATAN,139,62,24,24,170023682638000
1,01 55 ,DKI JAKARTA,KOTA JAKARTA TIMUR,221,82,229,65,33760086083000
2,02 00 ,JAWA BARAT,JAWA BARAT,5272,1217,688,1595,45936127084000
2,02 05 ,JAWA BARAT,KAB. BOGOR,781,130,66,328,4530368925000
2,02 06 ,JAWA BARAT,KAB. SUKABUMI,374,94,82,248,654219785000
2,02 07 ,JAWA BARAT,KAB. CIANJUR,500,160,44,184,822897121000
2,02 08 ,JAWA BARAT,KAB. BEKASI,267,55,9,89,1118292302000
2,02 09 ,JAWA BARAT,KAB. KARAWANG,388,49,7,46,958957501000
2,02 10 ,JAWA BARAT,KAB. PURWAKARTA,84,15,5,9,475019911000
2,02 11 ,JAWA BARAT,KAB. SUBANG,126,56,24,67,1613016887000
2,02 12 ,JAWA BARAT,KAB. BANDUNG,465,100,26,89,666551038000
2,02 13 ,JAWA BARAT,KAB. SUMEDANG,117,10,0,4,909102918000
2,02 15 ,JAWA BARAT,KAB. TASIKMALAYA,194,67,78,20,815621765000
2,02 16 ,JAWA BARAT,KAB. CIAMIS,78,19,3,19,437835406000
2,02 17 ,JAWA BARAT,KAB. CIREBON,231,59,7,129,631240135000
2,02 18 ,JAWA BARAT,KAB. KUNINGAN,104,24,9,48,486514048000
2,02 19 ,JAWA BARAT,KAB. INDRAMAYU,208,64,80,41,583675098000
2,02 20 ,JAWA BARAT,KAB. MAJALENGKA,147,19,3,13,489362418000
2,02 21 ,JAWA BARAT,KAB. BANDUNG BARAT,202,40,79,38,705256185000
2,02 22 ,JAWA BARAT,KAB. PANGANDARAN,23,2,1,13,194128613000
2,02 51 ,JAWA BARAT,KOTA BANDUNG,135,5,10,22,19018705466000
2,02 52 ,JAWA BARAT,KOTA BOGOR,46,11,0,10,2189220628000
2,02 53 ,JAWA BARAT,KOTA SUKABUMI,31,1,13,0,462566004000
2,02 54 ,JAWA BARAT,KOTA CIREBON,23,19,1,3,2663450522000
2,02 57 ,JAWA BARAT,KOTA BEKASI,176,33,36,35,997389722000
2,02 58 ,JAWA BARAT,KOTA DEPOK,154,45,3,22,893547677000
2,02 60 ,JAWA BARAT,KOTA TASIKMALAYA,64,20,0,8,645294082000
2,02 61 ,JAWA BARAT,KOTA CIMAHI,24,7,1,8,1206307779000
2,02 62 ,JAWA BARAT,KOTA BANJAR,14,1,1,7,683344688000
3,03 00 ,JAWA TENGAH,JAWA TENGAH,2212,464,166,652,39663815151000
3,03 01 ,JAWA TENGAH,KAB. SEMARANG,53,8,2,30,305265954000
3,03 02 ,JAWA TENGAH,KAB. KENDAL,40,11,10,28,314505153000
3,03 03 ,JAWA TENGAH,KAB. DEMAK,130,4,6,58,439093401000
3,03 04 ,JAWA TENGAH,KAB. GROBOGAN,86,35,5,44,569072220000
3,03 05 ,JAWA TENGAH,KAB. PEKALONGAN,67,8,9,6,314036360000
3,03 06 ,JAWA TENGAH,KAB. BATANG,80,3,1,5,327243819000
3,03 07 ,JAWA TENGAH,KAB. TEGAL,121,21,4,65,367701275000
